Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort,
may,FD-A101,,XT60 Female to T-connector Male Adapter,High Quality,,1,,,5,1,
may,FD-A102,,XT60  Male to T-connector Female Adapter,High Quality,,1,,,5,2,
may,FD-A103,,XT90 Female to T-connector Male Adapter,High Quality,,1.2,,,5,3,
may,FD-A104,,XT90  Male to T-connector Female Adapter,High Quality,,1.2,,,5,4,
may,FD-A105,,XT60  Female to XT30 Male Adapter,High Quality,,1.2,,,5,5,
may,FD-A106,,"XT60  Male to XT30 Female Adapter		",High Quality,,1.2,,,5,6,
may,FD-A107,,XT90 Female to XT60 Male Adapter,High Quality,,1.5,,,5,7,
may,FD-A108,,XT90 Male to XT60 Female Adapter,High Quality,,1.5,,,5,8,
may,FD-A109,,T-connector Parallel Connection Plug,High Quality,,1.1,,,5,9,
may,FD-A110,,T-connector Series Connection Plug,High Quality,,1.1,,,5,10,
may,FD-A111,,XT60 Parallel Connection Plug,High Quality,,1.5,,,5,11,
may,FD-A112,,XT60 Series Connection Plug,High Quality,,1.5,,,5,12,
may,FD-A113,,EC3 Female to T Connector Male Adapter,High Quality,,1.1,,,5,13,
may,FD-A114,,EC3 Male to T Connector Female Adapter,High Quality,,1.1,,,5,14,
may,FD-A115,,EC5 Female to T Connector Male Adapter,High Quality,,1.5,,,5,15,
may,FD-A116,,EC5 Male to T Connector Female Adapter,High Quality,,1.5,,,5,16,
may,FD-A117,,Small Tamiya Female to T Connector Male Adapter,High Quality,,1,,,5,17,
may,FD-A118,,Small Tamiya Male to T Connector Female Adapter,High Quality,,1,,,5,18,
may,FD-A119,,Tamiya Female to T Connector Male Adapter,High Quality,,1,,,5,19,
may,FD-A120,,Tamiya Male to T Connector Female Adapter,High Quality,,1,,,5,20,
may,FD-A121,,TRX Female to EC3 Male Adapter,High Quality,,1.5,,,5,21,
may,FD-A122,,TRX Male to EC3 Female Adapter,High Quality,,1.5,,,5,22,
may,FD-A123,,TRX Female to T Connector Male Adapter,High Quality,,1.5,,,5,23,
may,FD-A124,,TRX Male to T Connector Female Adapter,High Quality,,1.5,,,5,24,
may,FD-A125,,T Connector Female to 4.0mm Banana Head Adapter,High Quality,,1.4,,,5,25,
may,FD-A126,,T Connector Male to 4.0mm Banana Head Adapter,High Quality,,1.4,,,5,26,
may,FD-A127,,T Connector Male to 3.5mm Banana Head Adapter,High Quality,,1.1,,,5,27,
may,FD-A128,,T Connector Female to 4.0mm Banana Adapter,High Quality,,1.1,,,5,28,
high,21715,,XT60 female to EC3 female adapter (Pack of 5),High Quality,,5,,,1,29,
high,21720,,EC3 female to T head male connector (Pack of 5),High Quality,,4,,,1,30,
high,21710,,XT60 male to EC3 male adapter (Pack of 5),High Quality,,4.5,,,1,31,
high,11808,,XT30 to DC5.5X2.1 adapter (Pack of 4),High Quality,,4.2,,,1,32,
high,11808-1,,XT60 to DC5.5X2.1 adapter (Pack of 4),High Quality,,5.2,,,1,33,
