Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort,,,,,
jane t,ESC AIR 20A,,ESC AIR 20A,"3-4S,
500HZ, NO BEC","BATTERY : 3-4 S
FREQUENCY : 500HZ
NO BEC
SIZE(mm) : 52.4*21.5*7
NET WEIGHT : 14.0g
GROSS WEIGHT : 30.0g
",34.75,,,,20,,,,,
jane t,ESC AIR 40A,,ESC AIR 40A,"2-6S,
600HZ, NO BEC","BATTERY : 2-6 S
FREQUENCY : 600HZ
NO BEC
SIZE(mm) : 68.0*25.0*8.7
NET WEIGHT : 26.0g
GROSS WEIGHT : 42.0g
",62.25,,,,40,,,,,
jane t,ESC T60A,,ESC T60A,"2-6 S,
400HZ,
with BEC","BATTERY : 2-6 S
FREQUENCY : 400HZ
with BEC
SIZE(mm) : 70.0*31.0*14.0
NET WEIGHT : 60.0g
GROSS WEIGHT : 79.0g
",87.25,,,,60,,,,,
jane t,ESC T80A,,ESC T80A,"2-6 S,
400HZ,
with BEC","BATTERY : 2-6 S
FREQUENCY : 400HZ
with BEC
SIZE(mm) : 70.0*31.0*14.0
NET WEIGHT : 62.0g
GROSS WEIGHT : 87.0g
",102.5,,,,80,,,,,
jane t,ESC FLAME 60A HV,,ESC FLAME 60A HV,"6-12 S,
600HZ, NO BEC","BATTERY : 6-12 S
FREQUENCY : 600HZ
NO BEC
SIZE(mm) : 66.5*38.5*17.7

NET WEIGHT : 73.5g
GROSS WEIGHT : 
",174.75,,,,60,,,,,
jane t,ESC FLAME 70A LV,,ESC FLAME 70A LV,2-6S,"BATTERY : 2-6S
SIZE(mm) : 56.6*36.4*16.1
NET WEIGHT : 55.0g
GROSS WEIGHT : 108.0g
",122.25,,,,70,,,,,
jane t,ESC FLAME 80A,,ESC FLAME 80A,"6-12 S,
600HZ, NO BEC","BATTERY : 6-12 S
FREQUENCY : 600HZ
NO BEC
SIZE(mm) : 62.0*41.0*17.0
NET WEIGHT : 106.0g
GROSS WEIGHT : 181.0g
",209.75,,,,80,,,,,
jane t,ESC FLAME 100A LV,,"ESC FLAME 100A
LV",2-6S,"BATTERY : 2-6 S
SIZE(mm) : 72.2*30.6*17.3
NET WEIGHT : 78.5g
GROSS WEIGHT : 193g
",157.25,,,,100,,,,,
jane t,ESC FLAME 100A HV,,ESC FLAME 100A  HV,6-14S,"BATTERY : 6-14 S
SIZE(mm) : 86.1*54.1*24
NET WEIGHT : 139.0g
GROSS WEIGHT : 193g
",224.75,,,,100,,,,,
jane t,ESC FLAME 180A,,ESC FLAME 180A,,"SIZE(mm) : 112.2*50.5*35.5
NET WEIGHT : 279.0g
",464.75,,,,180,,,,,
jane t,ESC Alpha 40A,,ESC Alpha 40A,FOC,"FOC
SIZE(mm) : 64.5*29.4*14.7
NET WEIGHT : 54.5g
GROSS WEIGHT : 183g
",107.25,,,,40,,,,,
jane t,ESC Alpha 60A LV,,ESC Alpha 60A LV,FOC,"FOC
SIZE(mm) : 71.3*32.5*15.9
NET WEIGHT : 62.8g
GROSS WEIGHT : 194g
",114.75,,,,60,,,,,
jane t,ESC Alpha 60A HV,,ESC Alpha 60A HV,FOC,"FOC
SIZE(mm) : 75.7*32.5*16.2
NET WEIGHT : 73.0g
GROSS WEIGHT : 199g
",187.25,,,,60,,,,,
jane t,ESC Alpha 80A HV,,ESC Alpha 80A HV,FOC,"FOC
SIZE(mm) : 88.5*36.6*19
NET WEIGHT : 110.0g
GROSS WEIGHT : 234g
",204.75,,,,80,,,,,
